EbayID,SellerName,SellerAuctionCount,SellerAuctionSaleCount,AuctionMedianPrice,ReturnsCount,is_fraud
171004000000,itsmittytime,8,5,74.49,1,0
380618000000,my09131970,5028,459,0.99,485,0
321109000000,llbobo,44,16,29.885,27,1
380627000000,my09131970,5028,459,0.99,694,0
181127000000,hhsportz,87,19,36,2,0
380617000000,terry9998,326,7,9.24,257,1
330904000000,cabezatosh,106,45,3.99,58,0
161008000000,kstate97,687,45,7.745,574,1
360632000000,smcomstore,5189,2542,15.49,2626,0
151025000000,ledgauges,7099,272,5,269,0
181118000000,thingsofyesteryear,97,4,74.49,16,1
221211000000,ambiethebambie,570,138,9.99,66,0
121092000000,lock-em-up-bob,1880,1139,0.99,293,0
161009000000,kingdaddy59,181,4,13.75,124,1
230945000000,toptiercollectiblesinc,188,17,93.09,157,1
171029000000,j****7,5,3,104.72,0,0
230957000000,gridironlegends,1740,1540,56,34,0
261194000000,baseballwill1972,436,31,2.12,338,1
230955000000,eighti,87,60,2.5,12,0
200914000000,al.metz,6,3,36,0,0
360614000000,krukcards,680,490,26.54,146,0
151014000000,mike27252012,161,14,4.97,72,0
160992000000,r_grell,347,7,6,63,0
300880000000,fanatics,730,726,36,0,0
221207000000,gannonsantiques_com,11,5,48.59,3,0
140944000000,kadin03,71,18,9.99,26,0
261191000000,sportssurplus10,156,151,43.275,4,0
281080000000,deadeds8210,2149,56,0.99,69,0
161001000000,beadyeyes,102,55,2,37,0
310651000000,etown99,142,4,2.59,107,1
261187000000,hapehollidaze,97,4,2.59,29,0
261201000000,kenu2910,19,2,66.23,6,0
190825000000,taylorsportgraphs,202,19,41,45,1
271166000000,candbautographes,667,89,0.99,305,0
310617000000,great_cards_and_autographs,6672,66,0.99,3140,0
181094000000,thingsofyesteryear,97,4,74.49,34,1
271167000000,cagrnbayfan,134,15,36,77,0
400418000000,harryjean0,2791,358,2.25,1582,0
160977000000,stinsonsports,404,224,59.88,52,0
261175000000,tmcauthentics,80,10,32.79,54,1
140921000000,deanna99,11,1,36,7,1
300889000000,autograph-reference,1427,46,74.49,468,1
140955000000,702husker,370,51,2.82,12,0
111052000000,autographmike,912,401,0.25,132,0
271190000000,russelle1-half,81,8,13.63,73,1
251264000000,cooperstownheroes,692,7,34.59,150,1
281085000000,meikabooh11,4,4,26.54,0,0
111051000000,saucerulz,215,66,12.26,101,0
321079000000,rogmantle,507,7,29.885,350,1
360629000000,huskerbaseball1,100,98,13.75,1,0
261198000000,sports_is_life_14,1307,343,0.99,738,0
230959000000,hooptswede,38,28,2.32,2,0
161003000000,bigbenward786,562,109,9.99,110,0
281090000000,raystooge,400,9,13.75,242,1
390583000000,mtel950,764,8,43.99,54,1
370791000000,firstclassautograph,155,103,41,2,0
330900000000,dgiii,56,17,12.26,17,0
181127000000,thingsofyesteryear,97,4,74.49,81,1
200918000000,faithmarie12,17,10,12.26,3,0
310658000000,great_cards_and_autographs,6672,66,1.12,6578,1
390583000000,mtel950,764,8,24.99,751,1
350749000000,mark12x,71,57,104.89,6,0
151033000000,ledgauges,7099,272,5,777,0
181094000000,setter71,230,36,9.99,98,0
310652000000,cptnamerica2003,25,5,36,15,0
310652000000,cagrnbayfan,134,15,36,90,1
121096000000,bandk2hi15,104,6,36,73,1
360596000000,graphn4fun,106,105,50.495,0,0
350726000000,mays-24,702,39,15.28,623,1
380618000000,my09131970,5028,459,2.62,139,0
321080000000,yellow_perch,147,2,2.475,48,0
170997000000,packersfan792011,258,12,0.94,198,1
330880000000,thebug23,1071,45,4.99,353,0
380620000000,mtel950,764,8,43.99,754,1
221219000000,akidwhosk8bords,14,14,50.495,0,0
230968000000,motorcycleted0302,151,27,7.5,72,0
171020000000,jinnaisakyo52,23,5,36,3,0
251265000000,nrc-collectibles,281,1,37.57,161,1
300877000000,millenniumsports,1121,62,2.59,987,1
400429000000,normandkat,431,7,1.25,266,1
330879000000,megabytewayne,128,6,2.59,74,0
370768000000,misterinksignatures,4453,142,5.995,1591,0
160996000000,military11b2001,656,20,12.26,421,1
350752000000,hairmetalwhitey,1182,820,3.8,281,0
200903000000,randomtreasurez,392,3,1.8,314,1
181119000000,rksportspromotions,1137,3,4.99,781,1
130888000000,warxmurd3r,2,1,93.09,0,0
390554000000,rkra7566,19,19,15.28,0,0
181095000000,eudubbz,55,3,14.5,47,1
130894000000,ia2ca,1243,32,2.59,1012,1
230940000000,thebug23,1071,45,11,801,1
171020000000,alwayslegitgraphs,342,31,4.99,253,1
251262000000,eric11141999,8,3,36,1,0
300893000000,dtwin1,119,5,33.495,12,1
271193000000,candbautographes,667,89,0.99,143,0
130893000000,crazzyjj,340,25,59.99,29,1
151034000000,kstate97,687,45,7.745,633,1
121084000000,lock-em-up-bob,1880,1139,0.99,571,0
350730000000,blueluv_22,32,1,36,15,1
151006000000,ptango,339,3,26,172,1
121073000000,emmyjojo200011,3,1,36,0,0
360643000000,great_cards_and_autographs,6672,66,1.12,5254,1
321104000000,aircp,511,57,43.275,358,1
281091000000,rhill2205,2,2,5.5,0,0
190823000000,kccmke,325,33,0.99,237,0
151026000000,heathlxa428,390,8,6,285,1
161006000000,military11b2001,656,20,4.31,461,1
181118000000,albert6473,460,17,15.28,405,1
310629000000,kramerscollectiblesconsulting,215,43,12.26,24,0
161003000000,jbd_est.1981,41,19,8.08,6,0
251264000000,goalpostsports,206,8,66.23,43,1
161012000000,military11b2001,656,20,4.31,562,1
350756000000,inkcasualty,1726,1252,0.99,442,0
310647000000,great_cards_and_autographs,6672,66,0.555,5648,1
221193000000,blueluv_22,32,1,36,27,1
400418000000,the_sports_page,5264,2913,0.99,539,0
121070000000,bandk2hi15,104,6,36,35,1
170996000000,kbhabs24,36,26,1.04,6,0
230959000000,gridironlegends,1740,1540,74.49,2,0
300870000000,tomtimtone,101,18,56,31,0
330913000000,llbobo,44,16,29.885,16,0
151028000000,ledgauges,7099,272,5.5,5188,1
221214000000,thehunt13622,566,32,0.99,444,1
121098000000,jordan_fan_111,203,156,16.505,14,0
140954000000,romo99,687,24,15.28,444,1
400450000000,harryjean0,2791,358,0.99,1147,0
190819000000,serenainmd,28,2,50.495,8,1
350762000000,annamj12345,294,80,2.59,73,0
261203000000,hapehollidaze,97,4,12.26,8,0
261201000000,xrolemodel87,36,3,48.59,18,1
171026000000,bnkm,77,31,29.885,46,0
171020000000,sac2530,176,49,10.49,110,0
230960000000,mrs.sv,37,5,4.99,8,0
380627000000,my09131970,5028,459,0.99,3540,1
380600000000,gridironlegends,1740,1540,56,147,0
